,Titles,Year,IMDB Ratings,Votes
338,3:10 to Yuma,2007,7.7,281688
339,How to Train Your Dragon,2010,8.1,646829
340,Before Sunrise,1995,8.1,259083
341,Aladdin,1992,8.0,360520
342,Tonari no Totoro,1988,8.2,273272
343,Citizen Kane,1941,8.3,385926
344,Shaun of the Dead,2004,7.9,498933
345,Blowup,1966,7.6,54478
346,Toy Story 3,2010,8.3,734458
347,Serenity,2005,7.8,278577
348,American Gangster,2007,7.8,381636
349,In Bruges,2008,7.9,381190
350,WALL·E,2008,8.4,967233
351,3 Idiots,2009,8.4,327792
352,Monty Python and the Holy Grail,1975,8.2,488160
353,(500) Days of Summer,2009,7.7,461474
354,Rear Window,1954,8.4,428309
355,The Apartment,1960,8.3,156979
356,First Blood,1982,7.7,219531
357,The Little Mermaid,1989,7.6,229755
358,Chinatown,1974,8.2,283912
359,The Machinist,2004,7.7,348447
360,Office Space,1999,7.7,236284
361,Groundhog Day,1993,8.0,565909
362,Halloween,1978,7.8,220560
363,"O Brother, Where Art Thou?",2000,7.7,276867
364,As Good as It Gets,1997,7.7,268178
365,Taken,2008,7.8,555595
366,Mad Max 2,1981,7.6,162276
367,Salinui chueok,2003,8.1,125018
368,Gravity,2013,7.7,750880
369,Der Untergang,2004,8.2,322458
370,Raging Bull,1980,8.2,310981
371,Philadelphia,1993,7.7,217970
372,Moonrise Kingdom,2012,7.8,309027
373,Incendies,2010,8.3,139961
374,The Farewell,2019,7.6,41905
375,The Warriors,1979,7.6,90899
376,The Game,1997,7.8,333873
377,The Fighter,2010,7.8,331914
378,The Dirty Dozen,1967,7.7,65234
379,District 9,2009,7.9,627460
380,Fear and Loathing in Las Vegas,1998,7.6,253097
381,Rosemary's Baby,1968,8.0,185404
382,El secreto de sus ojos,2009,8.2,185975
383,The Graduate,1967,8.0,248351
384,The Butterfly Effect,2004,7.6,441734
385,Dog Day Afternoon,1975,8.0,229115
386,Fantastic Mr. Fox,2009,7.9,190889
387,Misery,1990,7.8,177436
388,Kung fu,2004,7.7,123706
389,Dangal,2016,8.4,144486
390,Y tu mamá también,2001,7.6,112810
391,Blood Diamond,2006,8.0,486326
392,Changeling,2008,7.7,231869
393,The Fly,1986,7.6,154158
394,The Jungle Book,1967,7.6,161125
395,La piel que habito,2011,7.6,133638
396,The Theory of Everything,2014,7.7,387095
397,The Hurt Locker,2008,7.6,411689
398,Hotaru no haka,1988,8.5,221631
399,Empire of the Sun,1987,7.7,112185
400,Roma,2018,7.7,132293
401,Die Hard: With a Vengeance,1995,7.6,355298
402,The Crow,1994,7.6,162598
403,Breakfast at Tiffany's,1961,7.7,161686
404,Lord of War,2005,7.6,288404
405,Life of Pi,2012,7.9,566671
406,Only the Brave,2017,7.6,53948
407,Blow,2001,7.6,235013
408,Nuovo Cinema Paradiso,1988,8.5,219826
409,To Kill a Mockingbird,1962,8.2,286911
410,Gran Torino,2008,8.1,702713
411,The Naked Gun: From the Files of Police Squad!,1988,7.6,146404
412,The Others,2001,7.6,328443
413,The Great Escape,1963,8.2,217835
414,The Elephant Man,1980,8.1,212548
415,This Is Spinal Tap,1984,7.9,125773
416,Sleepers,1996,7.6,182825
417,My Cousin Vinny,1992,7.6,102674
418,It's a Wonderful Life,1946,8.6,385093
419,Wreck-It Ralph,2012,7.7,368809
420,Stalker,1979,8.2,110021
421,Rain Man,1988,8.0,462051
422,The Count of Monte Cristo,2002,7.8,126053
423,North by Northwest,1959,8.3,289007
424,M - Eine Stadt sucht einen Mörder,1931,8.3,137807
425,The King's Speech,2010,8.0,624430
426,Gangs of Wasseypur,2012,8.2,76596
427,Coraline,2009,7.7,189078
428,Hunt for the Wilderpeople,2016,7.9,102776
429,Road to Perdition,2002,7.7,241001
430,Das Boot,1981,8.3,224233
431,Togo,2019,8.0,28785
432,Creed,2015,7.6,240088
433,Boyhood,2014,7.9,328903
434,End of Watch,2012,7.6,222840
435,Mr. Nobody,2009,7.8,210150
436,Spartacus,1960,7.9,120768
437,Moon,2009,7.9,327402
438,Walk the Line,2005,7.8,227858
439,Gake no ue no Ponyo,2008,7.7,118176
440,Ang-ma-reul bo-at-da,2010,7.8,104496
441,Sunset Blvd.,1950,8.4,193654
442,The Color Purple,1985,7.8,75679
443,Beauty and the Beast,1991,8.0,408440
444,Sense and Sensibility,1995,7.6,98564
445,The Thin Red Line,1998,7.6,168134
446,Barry Lyndon,1975,8.1,143573
447,Lost Highway,1997,7.6,126522
448,Fiddler on the Roof,1971,8.0,37761
449,Guess Who's Coming to Dinner,1967,7.8,37944
450,Dogville,2003,8.0,133981
451,All the President's Men,1976,8.0,98880
452,Isle of Dogs,2018,7.9,130380
453,The Royal Tenenbaums,2001,7.6,259192
454,Gandhi,1982,8.0,214195
455,Mississippi Burning,1988,7.8,84531
456,The Bourne Ultimatum,2007,8.0,595233
457,Toy Story 2,1999,7.9,510890
458,Akira,1988,8.0,157364
459,Kaze no tani no Naushika,1984,8.1,142538
460,Gattaca,1997,7.8,273958
461,Bound by Honor,1993,8.0,28056
462,Match Point,2005,7.6,201631
463,The Remains of the Day,1993,7.8,63320
464,The Boy in the Striped Pyjamas,2008,7.8,184345
465,Searching,2018,7.6,127207
466,Sing Street,2016,7.9,81847
467,The Bourne Supremacy,2004,7.7,424622
468,Captain Phillips,2013,7.8,408867
469,Donnie Brasco,1997,7.7,268838
470,Majo no takkyûbin,1989,7.8,115444
471,Planet of the Apes,1968,8.0,161947
472,Cool Hand Luke,1967,8.1,157126
473,The Sting,1973,8.3,234414
474,Butch Cassidy and the Sundance Kid,1969,8.0,198168
475,Ray,2004,7.7,135225
476,Singin' in the Rain,1952,8.3,211100
477,The Maltese Falcon,1941,8.0,145939
478,Dark City,1998,7.6,184090
479,Funny Games,1997,7.6,61990
480,The Birds,1963,7.7,165615
481,Escape from Alcatraz,1979,7.6,114698
482,Koe no katachi,2016,8.2,38514
483,When Harry Met Sally...,1989,7.6,188862
484,Yedinci Kogustaki Mucize,2019,8.3,26916
485,Serbuan maut,2011,7.6,185898
486,The Last Picture Show,1971,8.0,40773
487,Serpico,1973,7.7,105241
488,Fried Green Tomatoes,1991,7.7,64870
489,Eastern Promises,2007,7.6,222631
490,Glengarry Glen Ross,1992,7.7,93132
491,Goldfinger,1964,7.7,167648
492,Rebel Without a Cause,1955,7.7,80880
493,Traffic,2000,7.6,192190
494,Relatos salvajes,2014,8.1,167894
495,Shoplifters,2018,8.0,54404
496,Andhadhun,2018,8.3,62881
497,Per qualche dollaro in più,1965,8.3,223319
498,Pride,2014,7.8,49972
499,The Boondock Saints,1999,7.8,223762
500,Fa yeung nin wah,2000,8.1,117450
501,127 Hours,2010,7.6,340173
502,A Bronx Tale,1993,7.8,123936
503,Gone Baby Gone,2007,7.6,244016
504,The Illusionist,2006,7.6,349010
505,La montaña sagrada,1973,7.9,34917
506,Carlito's Way,1993,7.9,194916
507,Adaptation.,2002,7.7,172691
508,Metropolis,1927,8.3,154667
509,Klaus,2019,8.2,71483
510,A Streetcar Named Desire,1951,8.0,96433
511,Enter the Dragon,1973,7.7,93573
512,The Bridge on the River Kwai,1957,8.1,197104
513,Batoru rowaiaru,2000,7.6,165406
514,The Nightmare Before Christmas,1993,8.0,283536
515,Män som hatar kvinnor,2009,7.8,205181
516,Tenkû no shiro Rapyuta,1986,8.0,143368
517,Life of Brian,1979,8.1,356364
518,Before Sunset,2004,8.0,225925
519,Per un pugno di dollari,1964,8.0,190153
520,Yip Man,2008,8.0,206442
521,Billy Elliot,2000,7.7,122865
522,Det sjunde inseglet,1957,8.2,157213
523,Lethal Weapon,1987,7.6,230781
524,In the Name of the Father,1993,8.1,151212
525,JFK,1991,8.0,137332
526,"Paris, Texas",1984,8.1,84732
527,Annie Hall,1977,8.0,246822
528,Midnight Cowboy,1969,7.8,97721
529,The Conversation,1974,7.8,94523
530,Before Midnight,2013,7.9,134645
531,My Fair Lady,1964,7.8,84154
532,Ben-Hur,1959,8.1,213316
533,The Lego Movie,2014,7.7,317722
534,Seppuku,1962,8.7,35421
535,Seven Pounds,2008,7.6,280888
536,In the Heat of the Night,1967,7.9,65112
537,Double Indemnity,1944,8.3,138086
538,Network,1976,8.1,140528
539,The French Connection,1971,7.7,106320
540,Dawn of the Planet of the Apes,2014,7.6,404756
541,Kramer vs. Kramer,1979,7.8,127897
542,Charade,1963,7.9,65376
543,Ran,1985,8.2,107364
544,Solaris,1972,8.1,77101
